20561347868|00|BAJA|A PROV.|01/01/2022|0.00
20561347868|01|E001|0000096|01/01/2022|225.50
20561347868|01|E001|0000164|01/01/2022|150.33
20561347868|01|E001|0000262|01/01/2022|3900.00
20561347868|01|E001|0000450|01/01/2022|1575.00
20561347868|01|E001|0010967|01/01/2022|0.00
20561347868|01|E001|0010969|01/01/2022|0.00
20561347868|01|F001|0000078|01/01/2022|300.00
20561347868|01|F001|0001207|01/01/2022|2900.00
20561347868|01|F001|0017660|01/01/2022|7550.00
20561347868|01|F001|0026121|01/01/2022|576.00
20561347868|01|F001|0026192|01/01/2022|1464.00
20561347868|01|F002|0003977|01/01/2022|0.00
20561347868|01|F027|0521422|01/01/2022|657.68
20561347868|01|F028|0488349|01/01/2022|657.68
20561347868|01|F072|1785269|01/01/2022|0.00
20561347868|01|F201|0166958|01/01/2022|0.00
20561347868|01|F581|0163233|01/01/2022|818.52
20561347868|01|F581|3608456|01/01/2022|455.27
20561347868|07|FC01|0000153|01/01/2022|0.00
20561347868|01|FF01|0000017|01/01/2022|38350.00
20561347868|01|FF01|0000018|01/01/2022|38350.00
20561347868|14|SS01|0515686|01/01/2022|3270.00
20561347868|01|E001|0000277|03/01/2022|2180.00
20561347868|01|E001|0000310|03/01/2022|2660.34
20561347868|01|F001|0000131|03/01/2022|4883.20
20561347868|01|F001|0026300|03/01/2022|1795.73
20561347868|01|F001|0044016|03/01/2022|0.00
20561347868|01|F151|0034751|03/01/2022|0.00
20561347868|01|FF39|0000827|03/01/2022|1459.95
20561347868|01|FL02|0046526|03/01/2022|1828.36
20561347868|01|FU01|1625539|03/01/2022|2485.93
20561347868|00|P001|0277341|03/01/2022|6.23
20561347868|01|E001|0000060|04/01/2022|720.51
20561347868|01|E001|0000061|04/01/2022|827.66
20561347868|01|E001|0000104|04/01/2022|1090.00
20561347868|01|F001|0000074|04/01/2022|1016.10
20561347868|01|F001|0016696|04/01/2022|126172.12
20561347868|01|F003|0007277|04/01/2022|0.00
20561347868|01|F012|0003488|04/01/2022|1634.65
20561347868|01|F100|0002160|04/01/2022|1237.80
20561347868|01|FA36|0059958|04/01/2022|1237.80
20561347868|01|FF39|0000834|04/01/2022|583.98
20561347868|01|FP25|0001048|04/01/2022|301.97
20561347868|01|E001|0000198|05/01/2022|337.25
20561347868|01|E001|0000375|05/01/2022|7112.73
20561347868|01|F001|0000960|05/01/2022|461.86
20561347868|01|F001|0001218|05/01/2022|258.64
20561347868|01|F001|0014588|05/01/2022|36.95
20561347868|01|F001|0044078|05/01/2022|0.00
20561347868|01|FB13|0065842|05/01/2022|360.00
20561347868|01|E001|0000056|06/01/2022|1376.36
20561347868|01|E001|0000063|06/01/2022|1569.60
20561347868|01|E001|0000316|06/01/2022|240.17
20561347868|01|E001|0000377|06/01/2022|554.24
20561347868|01|E001|0000889|06/01/2022|2771.19
20561347868|01|E001|0000890|06/01/2022|3270.00
20561347868|01|F001|0003698|06/01/2022|13763.56
20561347868|01|F001|0004459|06/01/2022|0.00
20561347868|01|F001|0004460|06/01/2022|0.00
20561347868|01|FE01|0312508|06/01/2022|54.00
20561347868|01|FI01|1830567|06/01/2022|87.00
20561347868|01|FI01|1830610|06/01/2022|30.64
20561347868|14|SB01|0173061|06/01/2022|48342.46
20561347868|01|E001|0000064|07/01/2022|1569.60
20561347868|01|E001|0000091|07/01/2022|1619.04
20561347868|01|E001|0000092|07/01/2022|3553.84
20561347868|01|E001|0000109|07/01/2022|5619.52
20561347868|01|E001|0000321|07/01/2022|2566.12
20561347868|01|E001|0000977|07/01/2022|697.60
20561347868|01|E001|0000978|07/01/2022|4905.00
20561347868|01|E001|0001038|07/01/2022|280.81
20561347868|01|F008|0001458|07/01/2022|886.78
20561347868|01|F052|0560692|07/01/2022|2072.39
20561347868|01|F400|0008438|07/01/2022|287.65
20561347868|01|F581|0190296|07/01/2022|1948.75
20561347868|01|FC01|0018726|07/01/2022|406.44
20561347868|00|P488|0658074|07/01/2022|15.81
20561347868|00|P488|0658075|07/01/2022|7.90
20561347868|00|P488|0658076|07/01/2022|50.16
20561347868|00|P488|0658077|07/01/2022|15.81
20561347868|00|P488|0658085|07/01/2022|60.20
20561347868|00|P488|0658086|07/01/2022|40.13
20561347868|00|P488|0658089|07/01/2022|58.31
20561347868|00|P488|0658091|07/01/2022|14.22
20561347868|00|P488|0658092|07/01/2022|12.64
20561347868|00|P488|0658093|07/01/2022|15.81
20561347868|01|F001|0003610|08/01/2022|168.30
20561347868|01|F002|0004064|08/01/2022|3576.68
20561347868|01|F011|0034768|08/01/2022|359.15
20561347868|01|F011|0034790|08/01/2022|86.46
20561347868|01|F537|0173137|08/01/2022|358.68
20561347868|01|F537|0173138|08/01/2022|574.26
20561347868|01|F537|0173139|08/01/2022|85.24
20561347868|01|F537|0173140|08/01/2022|755.26
20561347868|01|F537|0173141|08/01/2022|385.73
20561347868|01|F537|0173181|08/01/2022|713.34
20561347868|01|F537|0173182|08/01/2022|972.37
20561347868|01|F537|0173183|08/01/2022|8.68
20561347868|01|F537|0173185|08/01/2022|926.15
